epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8915.57,1.59295,2.43446,1.35423,0.01103,1.87075,0.84345,0.65152,0.77436,0.51106,0.84869,0.6421,0.7639,0.49903,1.36749,2.17875,1.19739,0.01162,0,0.000165423,0.000165423,0.0670808
2,19389.2,1.47944,2.29406,1.22861,0.01019,1.74836,0.77931,0.58754,0.6583,0.43522,0.77413,0.59091,0.65866,0.41912,1.48289,2.5155,1.53956,0.01271,0,0.000331432,0.000331432,0.0339135
3,29675.5,1.40777,2.19499,1.07153,0.00972,1.60504,0.86522,0.80892,0.88155,0.59243,0.86393,0.80702,0.87839,0.57126,1.27083,2.01086,0.91608,0.01055,0,0.000496781,0.000496781,0.000745537
4,39842.6,1.41162,2.19795,1.15422,0.00981,1.71856,0.84418,0.76852,0.85121,0.56299,0.84578,0.77091,0.85207,0.54883,1.28286,2.00543,0.96485,0.0105,0,0.00049703,0.00049703,0.00049703
5,50238.1,1.37567,2.16223,1.06324,0.00928,1.49172,0.86523,0.78451,0.86557,0.58768,0.86565,0.79182,0.86833,0.57143,1.26048,2.00746,0.85407,0.01024,0,0.00049604,0.00049604,0.00049604
6,60472.9,1.3897,2.16077,1.1064,0.00968,1.52984,0.89585,0.75589,0.85154,0.56939,0.88706,0.75371,0.84945,0.55909,1.30925,2.0616,0.90094,0.01077,0,0.00049505,0.00049505,0.00049505
7,70855.2,1.36091,2.0897,1.0783,0.00936,1.56401,0.87114,0.71132,0.80466,0.53216,0.88823,0.70707,0.80263,0.53325,1.37349,2.09615,1.11901,0.01153,0,0.00049406,0.00049406,0.00049406
8,81239.9,1.39529,2.12774,1.0503,0.00962,1.52552,0.8373,0.68771,0.77839,0.52043,0.83767,0.68855,0.77892,0.5041,1.3286,2.16675,1.24808,0.01123,0,0.00049307,0.00049307,0.00049307
9,91554.9,1.36761,2.08577,1.03337,0.00944,1.48321,0.84394,0.74327,0.82699,0.55045,0.86387,0.72111,0.82321,0.53732,1.33314,2.09795,1.00629,0.01111,0,0.00049208,0.00049208,0.00049208
10,101751,1.38053,2.11743,1.11542,0.0092,1.57246,0.86499,0.6936,0.78213,0.51917,0.85273,0.69696,0.78688,0.50083,1.41612,2.16401,1.11762,0.01223,0,0.00049109,0.00049109,0.00049109
11,112096,1.38276,2.10004,1.05936,0.00917,1.50499,0.82039,0.77281,0.84206,0.5434,0.83959,0.75505,0.84085,0.53761,1.37166,2.08132,1.01493,0.01139,0,0.0004901,0.0004901,0.0004901
12,122458,1.36459,2.05807,1.01697,0.00955,1.3987,0.85703,0.68519,0.76731,0.51304,0.86087,0.68519,0.76916,0.48486,1.32931,2.1656,1.26021,0.0111,0,0.00048911,0.00048911,0.00048911
13,132885,1.37239,2.05223,0.99664,0.00921,1.38676,0.89179,0.76852,0.87422,0.58227,0.89038,0.7726,0.87028,0.55909,1.31318,2.02094,0.83217,0.01113,0,0.00048812,0.00048812,0.00048812
14,143195,1.37219,2.07559,1.03576,0.00953,1.45167,0.85226,0.70408,0.8046,0.52623,0.86216,0.71296,0.81281,0.53358,1.38046,2.08688,1.08014,0.01148,0,0.00048713,0.00048713,0.00048713
15,153546,1.36746,2.07095,1.00288,0.0093,1.38079,0.828,0.80471,0.87228,0.5523,0.8278,0.80976,0.8762,0.5542,1.36318,2.04544,0.92917,0.01117,0,0.00048614,0.00048614,0.00048614
16,163743,1.34389,2.07758,1.05896,0.00898,1.47439,0.84175,0.71717,0.81016,0.52478,0.85071,0.71717,0.80717,0.52269,1.34788,2.13815,1.08986,0.01111,0,0.00048515,0.00048515,0.00048515
17,174051,1.34116,2.03065,1.06936,0.00921,1.42115,0.85091,0.65993,0.75464,0.4745,0.85516,0.66414,0.75696,0.4882,1.53568,2.26815,1.3824,0.01369,0,0.00048416,0.00048416,0.00048416
18,184351,1.36626,2.05821,1.06331,0.00934,1.38189,0.85207,0.77441,0.8601,0.55699,0.85079,0.77609,0.86052,0.5548,1.36831,2.02835,0.85572,0.01156,0,0.00048317,0.00048317,0.00048317
19,194618,1.31198,1.97847,0.9683,0.00899,1.32435,0.84867,0.76,0.84261,0.55018,0.84788,0.76936,0.84856,0.54714,1.34701,2.01295,0.89486,0.01122,0,0.00048218,0.00048218,0.00048218
20,204848,1.32456,1.99753,0.95551,0.00919,1.33331,0.84899,0.7193,0.81606,0.52297,0.84181,0.72222,0.81637,0.50986,1.37717,2.08473,1.06288,0.01153,0,0.00048119,0.00048119,0.00048119
21,215016,1.35022,2.05062,0.99294,0.009,1.34541,0.83405,0.73737,0.82514,0.54467,0.8373,0.73737,0.82405,0.52947,1.32419,2.12292,0.98271,0.01097,0,0.0004802,0.0004802,0.0004802
22,225334,1.30906,2.00841,0.94735,0.00902,1.35014,0.84593,0.67003,0.76002,0.50124,0.85011,0.67316,0.76262,0.49514,1.40298,2.22546,1.32994,0.0121,0,0.00047921,0.00047921,0.00047921
23,235645,1.3221,2.03922,0.97786,0.00906,1.37613,0.85486,0.76936,0.8643,0.56741,0.85392,0.76852,0.86256,0.5635,1.34053,2.03288,0.85741,0.01129,0,0.00047822,0.00047822,0.00047822
