epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2158.51,1.59283,2.80851,2.10399,0.01409,1.7354,0.81381,0.48098,0.59051,0.41806,0.81294,0.48221,0.59228,0.41485,1.32325,2.57699,2.0616,0.01417,0,0.000165094,0.000165094,0.0671462
2,4297.35,1.4462,2.46475,1.49538,0.01287,0.73601,0.79891,0.60447,0.63524,0.44399,0.80593,0.60126,0.63384,0.45826,1.33119,2.24066,1.72928,0.01404,0,0.000331104,0.000331104,0.0339789
3,6434.25,1.4018,2.35091,1.38316,0.01254,0.70789,0.87232,0.74609,0.82653,0.59136,0.87806,0.751,0.83165,0.58862,1.17181,1.89541,1.07942,0.01212,0,0.000496454,0.000496454,0.000810919
4,8596.72,1.36714,2.32041,1.33883,0.01187,0.66485,0.82761,0.73043,0.82319,0.55725,0.84199,0.71266,0.81766,0.554,1.26113,2.01499,1.13752,0.01311,0,0.00049703,0.00049703,0.00049703
5,10750.2,1.34677,2.23089,1.34066,0.01182,0.67381,0.84178,0.71166,0.77804,0.54511,0.8432,0.69943,0.77062,0.53892,1.25804,2.13597,1.26956,0.01313,0,0.00049604,0.00049604,0.00049604
6,12905.7,1.3215,2.20201,1.25922,0.01186,0.62738,0.90653,0.77791,0.86767,0.61553,0.9104,0.77914,0.86726,0.62098,1.14103,1.86311,0.94204,0.01137,0,0.00049505,0.00049505,0.00049505
7,15058.7,1.32516,2.16041,1.25177,0.01181,0.61361,0.87008,0.77243,0.86107,0.62413,0.87699,0.77856,0.86422,0.6252,1.12393,1.79182,0.8965,0.01152,0,0.00049406,0.00049406,0.00049406
8,17214.1,1.2902,2.11163,1.23115,0.01127,0.60433,0.84109,0.77301,0.8483,0.59722,0.83334,0.76693,0.84036,0.58634,1.15309,1.87281,1.09711,0.01159,0,0.00049307,0.00049307,0.00049307
9,19362.1,1.31524,2.13018,1.19299,0.01202,0.60612,0.90782,0.76196,0.87466,0.62259,0.91143,0.75757,0.87,0.6209,1.16563,1.82691,0.90041,0.01205,0,0.00049208,0.00049208,0.00049208
10,21513.1,1.261,2.04781,1.15812,0.01122,0.58919,0.86321,0.80982,0.87586,0.62752,0.86076,0.80401,0.86931,0.63305,1.138,1.72889,0.92075,0.01133,0,0.00049109,0.00049109,0.00049109
11,23654.5,1.24006,2.01705,1.08369,0.01093,0.54349,0.88588,0.79054,0.89212,0.65083,0.87953,0.78833,0.88771,0.62774,1.0907,1.76754,0.81268,0.01094,0,0.0004901,0.0004901,0.0004901
12,25808,1.22948,2.04184,1.10787,0.01089,0.55488,0.89319,0.76956,0.85008,0.63964,0.8961,0.77254,0.85332,0.63632,1.089,1.77556,0.95555,0.01103,0,0.00048911,0.00048911,0.00048911
13,27950.4,1.23802,1.99738,1.07558,0.01086,0.54255,0.89591,0.78154,0.8867,0.64862,0.91737,0.76687,0.87954,0.64005,1.13278,1.78753,0.8179,0.01141,0,0.00048812,0.00048812,0.00048812
14,30109.5,1.17694,1.93902,1.039,0.01012,0.53963,0.8919,0.7865,0.87186,0.6452,0.89768,0.79141,0.87428,0.63686,1.07795,1.73442,0.85121,0.01074,0,0.00048713,0.00048713,0.00048713
